Algorithm,Size,Passes,Comparisons,Swaps,Time
Selection,10,9,45,9,0.000000
Bubble,10,10,45,31,0.000000
Insertion,10,9,37,31,0.000000
Selection,100,99,4950,99,0.000000
Bubble,100,100,4950,2789,0.000000
Insertion,100,99,2885,2789,0.000000
Selection,1000,999,499500,992,0.000000
Bubble,1000,1000,499500,247724,0.002000
Insertion,1000,999,248715,247724,0.000000
Selection,2000,1999,1999000,1985,0.003000
Bubble,2000,2000,1999000,1000124,0.004000
Insertion,2000,1999,1002110,1000124,0.002000
Selection,3000,2999,4498500,2993,0.007000
Bubble,3000,3000,4498500,2243937,0.009000
Insertion,3000,2999,2246926,2243937,0.004000
Selection,4000,3999,7998000,3990,0.012000
Bubble,4000,4000,7998000,4007155,0.017000
Insertion,4000,3999,4011147,4007155,0.008000
Selection,5000,4999,12497500,4986,0.018000
Bubble,5000,5000,12497500,6260903,0.030000
Insertion,5000,4999,6265893,6260903,0.013000
Selection,6000,5999,17997000,5991,0.026000
Bubble,6000,6000,17997000,9040003,0.041000
Insertion,6000,5999,9045996,9040003,0.016000
Selection,8000,7999,31996000,7990,0.045000
Bubble,8000,8000,31996000,15948743,0.075000
Insertion,8000,7999,15956737,15948743,0.033000
Selection,10000,9999,49995000,9992,0.069000
Bubble,10000,10000,49995000,25001684,0.110000
Insertion,10000,9999,25011672,25001684,0.046000
